datetime,M_1_OPEN,M_1_HIGH,M_1_LOW,M_1_CLOSE,M_15_OPEN,M_15_HIGH,M_15_LOW,M_15_CLOSE
2024-08-13 14:04:00,3.175,3.18,2.965,3.0499,3.2619,3.28,3.12,3.21
2024-08-13 14:05:00,3.04,3.09,3.01,3.08,3.2619,3.28,3.12,3.21
2024-08-13 14:06:00,3.09,3.1,3.06,3.089,3.2619,3.28,3.12,3.21
2024-08-13 14:07:00,3.0899,3.09,3.06,3.08,3.2619,3.28,3.12,3.21
2024-08-13 14:08:00,3.075,3.09,3.07,3.075,3.2619,3.28,3.12,3.21
2024-08-13 14:09:00,3.0789,3.0789,3.06,3.066,3.2619,3.28,3.12,3.21
2024-08-13 14:10:00,3.0695,3.1,3.065,3.0995,3.2619,3.28,3.12,3.21
2024-08-13 14:11:00,3.0901,3.11,3.06,3.0991,3.2619,3.28,3.12,3.21
2024-08-13 14:12:00,3.095,3.12,3.08,3.12,3.2619,3.28,3.12,3.21
2024-08-13 14:13:00,3.114,3.13,3.105,3.115,3.2619,3.28,3.12,3.21
2024-08-13 14:14:00,3.1112,3.15,3.11,3.125,3.2619,3.28,3.12,3.21
2024-08-13 14:15:00,3.1295,3.145,3.12,3.145,3.205,3.21,2.965,3.125
2024-08-13 14:16:00,3.1403,3.15,3.13,3.1431,3.205,3.21,2.965,3.125
2024-08-13 14:17:00,3.15,3.15,3.11,3.132,3.205,3.21,2.965,3.125
2024-08-13 14:18:00,3.1301,3.1394,3.12,3.13,3.205,3.21,2.965,3.125
2024-08-13 14:19:00,3.12,3.135,3.12,3.1201,3.205,3.21,2.965,3.125
2024-08-13 14:20:00,3.12,3.13,3.08,3.1201,3.205,3.21,2.965,3.125
2024-08-13 14:21:00,3.1256,3.1256,3.08,3.0999,3.205,3.21,2.965,3.125
2024-08-13 14:22:00,3.098,3.11,3.07,3.0899,3.205,3.21,2.965,3.125
2024-08-13 14:23:00,3.0801,3.12,3.06,3.1143,3.205,3.21,2.965,3.125
2024-08-13 14:24:00,3.11,3.15,3.1001,3.15,3.205,3.21,2.965,3.125
2024-08-13 14:25:00,3.1434,3.18,3.14,3.1489,3.205,3.21,2.965,3.125
2024-08-13 14:26:00,3.1485,3.17,3.11,3.1506,3.205,3.21,2.965,3.125
2024-08-13 14:27:00,3.1586,3.17,3.13,3.146,3.205,3.21,2.965,3.125
2024-08-13 14:28:00,3.14,3.16,3.1311,3.1535,3.205,3.21,2.965,3.125
2024-08-13 14:29:00,3.155,3.16,3.12,3.1301,3.205,3.21,2.965,3.125
2024-08-13 14:30:00,3.1399,3.1399,3.1,3.1297,3.1295,3.18,3.06,3.1301
2024-08-13 14:31:00,3.125,3.1299,3.08,3.1089,3.1295,3.18,3.06,3.1301
2024-08-13 14:32:00,3.11,3.13,3.1,3.1113,3.1295,3.18,3.06,3.1301
2024-08-13 14:33:00,3.11,3.1299,3.07,3.1001,3.1295,3.18,3.06,3.1301
2024-08-13 14:34:00,3.0901,3.13,3.0901,3.1167,3.1295,3.18,3.06,3.1301
2024-08-13 14:35:00,3.115,3.13,3.081,3.1066,3.1295,3.18,3.06,3.1301
2024-08-13 14:36:00,3.105,3.13,3.09,3.101,3.1295,3.18,3.06,3.1301
2024-08-13 14:37:00,3.1006,3.13,3.1,3.105,3.1295,3.18,3.06,3.1301
2024-08-13 14:38:00,3.1006,3.11,3.08,3.0801,3.1295,3.18,3.06,3.1301
2024-08-13 14:39:00,3.0897,3.0897,3.03,3.0784,3.1295,3.18,3.06,3.1301
2024-08-13 14:40:00,3.075,3.075,2.97,3.03,3.1295,3.18,3.06,3.1301
2024-08-13 14:41:00,3.02,3.03,3,3.0001,3.1295,3.18,3.06,3.1301
2024-08-13 14:42:00,3.0083,3.05,3,3.025,3.1295,3.18,3.06,3.1301
2024-08-13 14:43:00,3.0258,3.0494,3.024,3.03,3.1295,3.18,3.06,3.1301
2024-08-13 14:44:00,3.0305,3.04,3.021,3.0399,3.1295,3.18,3.06,3.1301
2024-08-13 14:45:00,3.031,3.04,3.01,3.0113,3.1399,3.1399,2.97,3.0399
2024-08-13 14:46:00,3.015,3.07,3.015,3.045,3.1399,3.1399,2.97,3.0399
2024-08-13 14:47:00,3.05,3.07,3.034,3.06,3.1399,3.1399,2.97,3.0399
2024-08-13 14:48:00,3.06,3.1,3.0531,3.08,3.1399,3.1399,2.97,3.0399
2024-08-13 14:49:00,3.085,3.09,3.06,3.07,3.1399,3.1399,2.97,3.0399
2024-08-13 14:50:00,3.07,3.0889,3.06,3.08,3.1399,3.1399,2.97,3.0399
2024-08-13 14:51:00,3.0795,3.12,3.0795,3.105,3.1399,3.1399,2.97,3.0399
2024-08-13 14:52:00,3.101,3.12,3.0801,3.12,3.1399,3.1399,2.97,3.0399
2024-08-13 14:53:00,3.1101,3.13,3.11,3.13,3.1399,3.1399,2.97,3.0399
2024-08-13 14:54:00,3.1297,3.18,3.1202,3.1701,3.1399,3.1399,2.97,3.0399
2024-08-13 14:55:00,3.175,3.24,3.16,3.23,3.1399,3.1399,2.97,3.0399
2024-08-13 14:56:00,3.2301,3.24,3.18,3.2216,3.1399,3.1399,2.97,3.0399
2024-08-13 14:57:00,3.23,3.28,3.2,3.2301,3.1399,3.1399,2.97,3.0399
2024-08-13 14:58:00,3.23,3.28,3.2201,3.2595,3.1399,3.1399,2.97,3.0399
2024-08-13 14:59:00,3.26,3.32,3.2501,3.29,3.1399,3.1399,2.97,3.0399
2024-08-13 15:00:00,3.29,3.3,3.22,3.25,3.031,3.32,3.01,3.29
2024-08-13 15:01:00,3.255,3.255,3.22,3.2209,3.031,3.32,3.01,3.29
2024-08-13 15:02:00,3.225,3.23,3.14,3.199,3.031,3.32,3.01,3.29
2024-08-13 15:03:00,3.1901,3.2,3.17,3.1987,3.031,3.32,3.01,3.29
2024-08-13 15:04:00,3.1901,3.24,3.1901,3.205,3.031,3.32,3.01,3.29
2024-08-13 15:05:00,3.21,3.25,3.21,3.2399,3.031,3.32,3.01,3.29
2024-08-13 15:06:00,3.2301,3.24,3.23,3.2309,3.031,3.32,3.01,3.29
2024-08-13 15:07:00,3.232,3.2399,3.17,3.189,3.031,3.32,3.01,3.29
2024-08-13 15:08:00,3.1819,3.2,3.155,3.1851,3.031,3.32,3.01,3.29
2024-08-13 15:09:00,3.1899,3.19,3.16,3.1683,3.031,3.32,3.01,3.29
2024-08-13 15:10:00,3.16,3.2,3.155,3.1597,3.031,3.32,3.01,3.29
